nohup: ignoring input
Importing module 'gym_37' (/home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_37.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 1.8.1
Device count 2
/home/achard/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/achard/.cache/torch_extensions as PyTorch extensions root...
Emitting ninja build file /home/achard/.cache/torch_extensions/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
self.num_dof 18
Creating 300 environments.
velocity 1.0
effort 10000000000.0
stiffness 1.3
damping 0.1
mini_chunk_size:  136
rollout_size:  2176
loaded from:  /home/achard/isaacgym/python/isaacGymEnvs/isaacgymenvs/minimal-isaacgym/fly_bProject/save7_1_23/save1_standing_18dofs_.pth
Steps: 21300 | Opt Step: 0675 | Reward 0.5467 | Action Var 0.0100
Steps: 21400 | Opt Step: 0675 | Reward 0.5712 | Action Var 0.0100
Steps: 21500 | Opt Step: 0675 | Reward 0.6115 | Action Var 0.0100
Steps: 21600 | Opt Step: 0675 | Reward 0.5849 | Action Var 0.0100
Steps: 21700 | Opt Step: 0675 | Reward 0.5794 | Action Var 0.0100
Training
Steps: 21800 | Opt Step: 0750 | Reward 0.6281 | Action Var 0.0100
Steps: 21900 | Opt Step: 0750 | Reward 0.6787 | Action Var 0.0100
Steps: 22000 | Opt Step: 0750 | Reward 0.5305 | Action Var 0.0100
Steps: 22100 | Opt Step: 0750 | Reward 0.5569 | Action Var 0.0100
Steps: 22200 | Opt Step: 0750 | Reward 0.5708 | Action Var 0.0100
Steps: 22300 | Opt Step: 0750 | Reward 0.6176 | Action Var 0.0100
Steps: 22400 | Opt Step: 0750 | Reward 0.6528 | Action Var 0.0100
Steps: 22500 | Opt Step: 0750 | Reward 0.5977 | Action Var 0.0100
Steps: 22600 | Opt Step: 0750 | Reward 0.5512 | Action Var 0.0100
Steps: 22700 | Opt Step: 0750 | Reward 0.5581 | Action Var 0.0100
Steps: 22800 | Opt Step: 0750 | Reward 0.6006 | Action Var 0.0100
Steps: 22900 | Opt Step: 0750 | Reward 0.5424 | Action Var 0.0100
Steps: 23000 | Opt Step: 0750 | Reward 0.6338 | Action Var 0.0100
Steps: 23100 | Opt Step: 0750 | Reward 0.6148 | Action Var 0.0100
Steps: 23200 | Opt Step: 0750 | Reward 0.6189 | Action Var 0.0100
Steps: 23300 | Opt Step: 0750 | Reward 0.5803 | Action Var 0.0100
Steps: 23400 | Opt Step: 0750 | Reward 0.7021 | Action Var 0.0100
Steps: 23500 | Opt Step: 0750 | Reward 0.5778 | Action Var 0.0100
Steps: 23600 | Opt Step: 0750 | Reward 0.5743 | Action Var 0.0100
Steps: 23700 | Opt Step: 0750 | Reward 0.5217 | Action Var 0.0100
Steps: 23800 | Opt Step: 0750 | Reward 0.6897 | Action Var 0.0100
Steps: 23900 | Opt Step: 0750 | Reward 0.4908 | Action Var 0.0100
Training
Steps: 24000 | Opt Step: 0825 | Reward 0.6624 | Action Var 0.0100
Steps: 24100 | Opt Step: 0825 | Reward 0.6033 | Action Var 0.0100
Steps: 24200 | Opt Step: 0825 | Reward 0.5827 | Action Var 0.0100
Steps: 24300 | Opt Step: 0825 | Reward 0.4935 | Action Var 0.0100
Steps: 24400 | Opt Step: 0825 | Reward 0.5307 | Action Var 0.0100
Steps: 24500 | Opt Step: 0825 | Reward 0.6693 | Action Var 0.0100
Steps: 24600 | Opt Step: 0825 | Reward 0.6934 | Action Var 0.0100
Steps: 24700 | Opt Step: 0825 | Reward 0.6207 | Action Var 0.0100
Steps: 24800 | Opt Step: 0825 | Reward 0.4444 | Action Var 0.0100
